regiao,estado,data,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados
Norte,RO,11/04/2020,1,33,0,2
Norte,AC,11/04/2020,2,72,0,2
Norte,AM,11/04/2020,69,1050,3,53
Norte,RR,11/04/2020,12,75,0,3
Norte,PA,11/04/2020,47,217,1,10
Norte,AP,11/04/2020,27,193,1,3
Norte,TO,11/04/2020,0,23,0,0
Nordeste,MA,11/04/2020,51,344,5,21
Nordeste,PI,11/04/2020,1,41,0,7
Nordeste,CE,11/04/2020,104,1582,9,67
Nordeste,RN,11/04/2020,26,289,2,13
Nordeste,PB,11/04/2020,6,85,0,11
Nordeste,PE,11/04/2020,132,816,7,72
Nordeste,AL,11/04/2020,3,48,0,3
Nordeste,SE,11/04/2020,0,42,0,4
Nordeste,BA,11/04/2020,31,635,2,21
Sudeste,MG,11/04/2020,52,750,0,17
Sudeste,ES,11/04/2020,49,349,2,9
Sudeste,RJ,11/04/2020,143,2607,8,155
Sudeste,SP,11/04/2020,203,8419,20,560
Sul,PR,11/04/2020,33,676,1,26
Sul,SC,11/04/2020,39,732,3,21
Sul,RS,11/04/2020,4,640,1,15
Centro-Oeste,MS,11/04/2020,3,100,0,2
Centro-Oeste,MT,11/04/2020,9,121,1,3
Centro-Oeste,GO,11/04/2020,18,209,2,10
Centro-Oeste,DF,11/04/2020,24,579,0,14